Origin,Destination,Population,Cases2021,Incidence2021
Brown County,Alabama,2,91,1.8
Cass County,Alabama,2,91,1.8
Clark County,Alabama,29,91,1.8
Clinton County,Alabama,85,91,1.8
Delaware County,Alabama,303,91,1.8
Elkhart County,Alabama,2,91,1.8
Fayette County,Alabama,62,91,1.8
Fulton County,Alabama,37,91,1.8
Hamilton County,Alabama,17,91,1.8
Howard County,Alabama,15,91,1.8
Johnson County,Alabama,6,91,1.8
Kosciusko County,Alabama,20,91,1.8
Lake County,Alabama,63,91,1.8
LaPorte County,Alabama,1,91,1.8
Marion County,Alabama,136,91,1.8
Morgan County,Alabama,96,91,1.8
Newton County,Alabama,14,91,1.8
Porter County,Alabama,40,91,1.8
St. Joseph County,Alabama,51,91,1.8
Shelby County,Alabama,2,91,1.8
Tippecanoe County,Alabama,101,91,1.8
Tipton County,Alabama,1,91,1.8
Vanderburgh County,Alabama,144,91,1.8
Vermillion County,Alabama,19,91,1.8
Vigo County,Alabama,43,91,1.8
Warrick County,Alabama,36,91,1.8
Wayne County,Alabama,34,91,1.8
White County,Alabama,7,91,1.8
Black Hawk County,Alabama,24,91,1.8
Cerro Gordo County,Alabama,14,91,1.8
Davis County,Alabama,12,91,1.8
Dubuque County,Alabama,37,91,1.8
Emmet County,Alabama,1,91,1.8
Hancock County,Alabama,48,91,1.8
Johnson County,Alabama,62,91,1.8
Linn County,Alabama,130,91,1.8
Marshall County,Alabama,17,91,1.8
Polk County,Alabama,9,91,1.8
Poweshiek County,Alabama,3,91,1.8
Scott County,Alabama,184,91,1.8
Story County,Alabama,14,91,1.8
Woodbury County,Alabama,11,91,1.8
Butler County,Alabama,8,91,1.8
Cherokee County,Alabama,5,91,1.8
Ellsworth County,Alabama,23,91,1.8
Finney County,Alabama,4,91,1.8
Ford County,Alabama,20,91,1.8
Geary County,Alabama,116,91,1.8
Johnson County,Alabama,147,91,1.8
Leavenworth County,Alabama,268,91,1.8
Lyon County,Alabama,22,91,1.8
Montgomery County,Alabama,19,91,1.8
Reno County,Alabama,19,91,1.8
Rice County,Alabama,4,91,1.8
Riley County,Alabama,30,91,1.8
Sedgwick County,Alabama,109,91,1.8
Shawnee County,Alabama,31,91,1.8
Adair County,Alabama,21,91,1.8
Barren County,Alabama,97,91,1.8
Boone County,Alabama,267,91,1.8
Boyd County,Alabama,14,91,1.8
Calloway County,Alabama,15,91,1.8
Campbell County,Alabama,67,91,1.8
Christian County,Alabama,356,91,1.8
Clark County,Alabama,7,91,1.8
Clay County,Alabama,2,91,1.8
Daviess County,Alabama,64,91,1.8
Fayette County,Alabama,124,91,1.8
Floyd County,Alabama,13,91,1.8
Franklin County,Alabama,15,91,1.8
Gallatin County,Alabama,5,91,1.8
Garrard County,Alabama,31,91,1.8
Graves County,Alabama,24,91,1.8
Hardin County,Alabama,245,91,1.8
Hart County,Alabama,18,91,1.8
Henderson County,Alabama,27,91,1.8
Hopkins County,Alabama,2,91,1.8
Jefferson County,Alabama,428,91,1.8
Jessamine County,Alabama,2,91,1.8
Kenton County,Alabama,111,91,1.8
Knox County,Alabama,16,91,1.8
Larue County,Alabama,2,91,1.8
Logan County,Alabama,22,91,1.8
McCracken County,Alabama,4,91,1.8
McCreary County,Alabama,24,91,1.8
Madison County,Alabama,66,91,1.8
Marshall County,Alabama,30,91,1.8
Meade County,Alabama,74,91,1.8
Montgomery County,Alabama,5,91,1.8
